Cst_Cnt,Btl_Cnt,Sta_ID,Depth_ID,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,IncTim,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1,DIC Quality Comment
2,52,052.0 075.0,19-4903CR-HY-060-2112-05200750-0565A-3,565,4.740000,34.16000,,27.04400,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,565.0000,4.740000,4.700000,34.16000,27.04000,106.9000,0.850000,,,,,,,,,,569,,,,,,,,
2,53,052.0 075.0,19-4903CR-HY-060-2112-05200750-0600A-7,600,4.620000,34.18800,,27.07900,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,600.0000,4.620000,4.570000,34.18800,27.07000,103.7000,0.880000,,,,,,,,,,605,,,,,,,,
2,54,052.0 075.0,19-4903CR-HY-060-2112-05200750-0700A-7,700,4.330000,34.25900,,27.16800,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,700.0000,4.330000,4.280000,34.25900,27.16000,96.00000,0.980000,,,,,,,,,,706,,,,,,,,
2,55,052.0 075.0,19-4903CR-HY-060-2112-05200750-0800A-7,800,4.080000,34.31900,,27.24300,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,800.0000,4.080000,4.020000,34.31900,27.24000,89.60000,1.070000,,,,,,,,,,807,,,,,,,,
2,56,052.0 075.0,19-4903CR-HY-060-2112-05200750-0840A-3,840,3.990000,34.34000,,27.26900,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,840.0000,3.990000,3.930000,34.34000,27.26000,87.30000,1.110000,,,,,,,,,,847,,,,,,,,
2,57,052.0 075.0,19-4903CR-HY-060-2112-05200750-0900A-7,900,3.850000,34.35400,,27.29400,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,900.0000,3.850000,3.780000,34.35400,27.29000,85.10000,1.160000,,,,,,,,,,908,,,,,,,,
2,58,052.0 075.0,19-4903CR-HY-060-2112-05200750-1000A-7,1000,3.620000,34.37800,,27.33700,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,1000.000,3.620000,3.550000,34.37800,27.33000,81.50000,1.250000,,,,,,,,,,1009,,,,,,,,
2,59,052.0 075.0,19-4903CR-HY-060-2112-05200750-1100A-7,1100,3.380000,34.40300,,27.38100,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,1100.000,3.380000,3.300000,34.40300,27.38000,77.60000,1.320000,,,,,,,,,,1110,,,,,,,,
2,60,052.0 075.0,19-4903CR-HY-060-2112-05200750-1200A-7,1200,3.150000,34.42900,,27.42300,,,,7,2,,3,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,1200.000,3.150000,3.060000,34.42900,27.42000,73.70000,1.400000,,,,,,,,,,1211,,,,,,,,
2,61,052.0 075.0,19-4903CR-HY-060-2112-05200750-1203A-3,1203,3.140000,34.43000,,27.42500,,,,3,2,,2,,9,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,1203.000,3.140000,3.050000,34.43000,27.42000,73.50000,1.400000,,,,,,,,,,1214,,,,,,,,
